objectid,filename,title,names,subject,genre,description,area/location,date,format,rights,language
fundliv01,https://www.loc.gov/item/2019271211/1923-02-08/ed-1/,Voice of the Knights of the Ku Klux Klan,"Minnesota Historical Society, Ku Klux Klan, North Start Klan no. 2, Knights of the Ku Klux Klan","KKK, Ku Klux Klan, Racism, Extremism, Fundamentalism",Newspaper,Two pages from the newspaper “Voice of the Knights of the Ku Klux Klan” discussing the KKK as an organization and defending their positions.,"Minneapolis, MN","February 8, 1923","Online image, PDF",Public Domain,English
fundliv02,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/LLAWTY000170008/PLEX?u=uiacic&sid=bookmark-PLEX&xid=ce46e32f&pg=1,"America for Christ: ""communism and God are incompatible"": radio message: by G. M. Robb","Reverend G.M. Robb, D.D., The Christian Amendment Movement","Politics, Christianity, Anti Communism, Christian Nationalism","Pamphlet, Radio transcript","A pamphlet containing a radio transcript making the argument that America, as a Christian nation, is incompatible with Communism","Pittsburgh, PA",1960,"Online image, PDF",Walter Goldwater Radical Pamphlet Collection,English
fundliv03,https://link.gale.com/apps/doc/ORYTDJ735917278/PLEX?u=uiacic&sid=bookmark-PLEX&xid=c9e09a9a&pg=1 ,"""Down with the Constitution!"": Here! Don't hit him! No one was ever converted with a brick nor with a bayonet: written for the multitude by Martin J. Wade. American Citizen Publishing Company. ","Martin J. Wade, American Citizen Publishing Company","Politics, Anti Communism, Constitution","Pamphlet, Booklet","A writer describes his experience at a pro-communist, anti-constitutional rally before urging the audience to fight these ideas with words instead of violence","Iowa City, IA (written). Davenport, IA (published).",1924,"Online image, PDF",Walter Goldwater Radical Pamphlet Collection,English
fundliv04,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/XYINNA434106561/PLEX?u=uiacic&sid=bookmark-PLEX&xid=54202a4e&pg=1,Did your congressman vote to aid the communists? How Democratic members of Congress voted on five key bills in 1965. Know Your Congressman’s Record Before You Vote!,"Phoebe Courtney, Kent Courtney, Independent American","Politics, Congress, Anti Communism, Voting",Pamphlet,A pamphlet containing a list of American Congressmen's voting history on five bills which supposedly aided communists,"New Orleans, LA",1965,"Online image, PDF",Walter Goldwater Radical Pamphlet Collection,English
fundliv05,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/APJFQW131844510/PLEX?u=uiacic&sid=bookmark-PLEX&xid=e677b41e&pg=1,Ku Klux Klan in Michigan,"Ku Klux Klan, Michigan State","KKK, Ku Klux Klan, Racism, Extremism, Fundamentalism",Newspaper,A collection of newspaper articles over KKK activity in Michigan from 1926 to 2000,Michigan/MI,1926 - 2000,"Online image, PDF",The American Radicalism Collection,English
fundliv06,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/AZUFCF865608957/PLEX?u=uiacic&sid=bookmark-PLEX&xid=dfdb3306&pg=1,"Ku Klux Klan Rally: Lansing, Michigan, April 23, 1994.","Ku Klux Klan, Michigan State, Mary E Iorio, John B Albright","KKK, Ku Klux Klan, Racism, Extremism, Fundamentalism",Newspaper,"A newspaper article discussing the Michigan Ku Klux Klan leader's proposal for a meeting in Lansing, Michigan","Lansing, MI","April 23, 1994","Online image, PDF",The American Radicalism Collection,English
fundliv07,https://link-gale-com.proxy.lib.uiowa.edu/apps/doc/BCQNPM784947481/PLEX?u=uiacic&sid=bookmark-PLEX&xid=e45fc3fd&pg=7,Pro-Life Movement,Pro Life Movement,"Abortion, Pro Life, Women, Fundamentalism",Newspaper,A collection of articles discussing the state of pro life events and organization around the US from 1971 to 2001,United States,1971 - 2001,"Online image, PDF",The American Radicalism Collection,English
fundliv08,https://www.loc.gov/item/2006636636/,"Lynchings by states and counties in the United States, 1900-1931 : (data from Research Department, Tuskegee Institute) ; cleartype county outline map of the United States","American Map Company, Tuskegee Institute","Racism, Lynching, Map",Map,A map depicting areas that lynchings occurred in the United States from 1900 to 1931,United States,1931,"Online image, PDF",Public Domain,English
